LOG_CONTENT
"[['207.83.76.108', 'GET', '/usr/login', '502', '5009', datetime.date(2021, 2, 18), datetime.time(1, 43, 23)]]"
"[['187.186.11.35', 'PUT', '/usr/admin/developer', '404', '5039', datetime.date(2023, 5, 10), datetime.time(6, 19, 32)]]"
"[['188.103.141.111', 'DELETE', '/usr', '304', '5043', datetime.date(2023, 3, 10), datetime.time(7, 10, 16)]]"
"[['1.70.238.100', 'GET', '/usr', '200', '5040', datetime.date(2022, 4, 10), datetime.time(10, 39, 44)]]"
"[['5.59.221.211', 'POST', '/usr', '304', '5053', datetime.date(2021, 11, 18), datetime.time(4, 45, 58)]]"
"[['126.105.58.16', 'DELETE', '/usr', '304', '5030', datetime.date(2023, 8, 30), datetime.time(3, 6, 44)]]"
"[['58.228.110.252', 'DELETE', '/usr/login', '502', '4973', datetime.date(2021, 11, 8), datetime.time(8, 7, 9)]]"
"[['176.212.235.86', 'GET', '/usr/admin/developer', '200', '5022', datetime.date(2020, 11, 14), datetime.time(10, 6, 45)]]"
"[['188.73.100.22', 'GET', '/usr', '404', '5058', datetime.date(2020, 4, 10), datetime.time(9, 6, 47)]]"
"[['195.149.140.132', 'PUT', '/usr/admin', '502', '4973', datetime.date(2020, 11, 12), datetime.time(1, 57, 27)]]"
"[['40.101.33.94', 'GET', '/usr/admin', '304', '5019', datetime.date(2021, 10, 19), datetime.time(6, 16, 45)]]"
"[['52.1.126.188', 'DELETE', '/usr', '404', '5122', datetime.date(2021, 12, 30), datetime.time(5, 32, 25)]]"
"[['47.92.200.229', 'POST', '/usr/login', '403', '4994', datetime.date(2022, 4, 27), datetime.time(1, 23, 33)]]"
"[['42.1.217.69', 'POST', '/usr/login', '500', '4987', datetime.date(2023, 1, 28), datetime.time(4, 50, 37)]]"
"[['207.101.123.236', 'DELETE', '/usr/admin', '403', '5082', datetime.date(2020, 8, 15), datetime.time(3, 55, 20)]]"
"[['13.16.228.85', 'GET', '/usr/login', '502', '4926', datetime.date(2023, 1, 7), datetime.time(8, 33, 47)]]"
"[['56.94.0.113', 'GET', '/usr/login', '303', '4924', datetime.date(2022, 10, 9), datetime.time(8, 34, 25)]]"
"[['147.49.38.208', 'POST', '/usr/admin/developer', '304', '5054', datetime.date(2022, 2, 9), datetime.time(8, 3, 12)]]"
"[['152.253.216.181', 'PUT', '/usr', '403', '5075', datetime.date(2023, 4, 22), datetime.time(8, 9, 17)]]"
"[['26.58.164.70', 'GET', '/usr/login', '303', '5039', datetime.date(2020, 9, 19), datetime.time(12, 38, 33)]]"
"[['120.178.62.7', 'DELETE', '/usr/admin', '200', '4906', datetime.date(2023, 1, 29), datetime.time(4, 8, 25)]]"
"[['97.168.22.104', 'GET', '/usr', '403', '4992', datetime.date(2022, 4, 28), datetime.time(10, 58, 24)]]"
"[['140.192.22.138', 'DELETE', '/usr/login', '303', '4942', datetime.date(2020, 12, 24), datetime.time(1, 51, 26)]]"
"[['20.66.110.167', 'GET', '/usr', '200', '4950', datetime.date(2020, 6, 26), datetime.time(11, 6, 1)]]"
"[['142.242.138.217', 'POST', '/usr/login', '502', '5026', datetime.date(2020, 6, 1), datetime.time(12, 49, 38)]]"
"[['94.12.255.6', 'GET', '/usr/register', '303', '5046', datetime.date(2021, 8, 6), datetime.time(5, 28, 28)]]"
"[['72.44.58.159', 'DELETE', '/usr/register', '304', '4919', datetime.date(2022, 5, 12), datetime.time(10, 15, 45)]]"
"[['139.166.186.146', 'POST', '/usr/admin', '502', '5001', datetime.date(2020, 10, 19), datetime.time(1, 23, 52)]]"
"[['2.160.33.220', 'POST', '/usr/admin', '200', '5012', datetime.date(2023, 1, 14), datetime.time(10, 56, 47)]]"
"[['53.254.8.185', 'PUT', '/usr/login', '304', '5055', datetime.date(2022, 4, 18), datetime.time(7, 53, 38)]]"
"[['211.144.74.254', 'PUT', '/usr/register', '502', '4928', datetime.date(2023, 3, 13), datetime.time(2, 2, 42)]]"
"[['185.91.75.97', 'POST', '/usr/admin', '404', '4955', datetime.date(2022, 4, 23), datetime.time(2, 27, 8)]]"
"[['60.108.191.249', 'DELETE', '/usr/admin/developer', '304', '4940', datetime.date(2022, 11, 8), datetime.time(12, 52, 23)]]"
"[['152.212.234.33', 'DELETE', '/usr/register', '200', '5016', datetime.date(2022, 12, 29), datetime.time(10, 11, 32)]]"
"[['190.33.138.90', 'PUT', '/usr', '404', '5006', datetime.date(2023, 7, 29), datetime.time(6, 43, 33)]]"
"[['87.214.117.42', 'GET', '/usr/admin/developer', '303', '5016', datetime.date(2020, 10, 1), datetime.time(1, 36, 36)]]"
"[['20.13.209.131', 'PUT', '/usr/register', '403', '4983', datetime.date(2022, 10, 16), datetime.time(2, 8, 52)]]"
"[['135.251.34.52', 'DELETE', '/usr', '304', '5005', datetime.date(2022, 8, 10), datetime.time(2, 51, 52)]]"
"[['187.196.3.233', 'GET', '/usr/login', '502', '5040', datetime.date(2023, 11, 20), datetime.time(10, 13, 10)]]"
"[['122.70.24.12', 'PUT', '/usr/register', '303', '5039', datetime.date(2023, 1, 24), datetime.time(10, 18, 1)]]"
"[['77.209.150.59', 'GET', '/usr/register', '404', '4946', datetime.date(2020, 2, 12), datetime.time(4, 49, 53)]]"
"[['145.131.182.117', 'PUT', '/usr', '303', '5093', datetime.date(2022, 12, 16), datetime.time(4, 20, 24)]]"
"[['154.88.228.198', 'POST', '/usr/admin/developer', '502', '4871', datetime.date(2020, 8, 19), datetime.time(8, 13, 48)]]"
"[['152.14.176.182', 'GET', '/usr/admin', '403', '4973', datetime.date(2023, 7, 17), datetime.time(1, 11, 54)]]"
"[['70.27.234.5', 'GET', '/usr', '403', '5101', datetime.date(2023, 12, 13), datetime.time(12, 36, 12)]]"
"[['198.112.252.24', 'GET', '/usr/admin/developer', '403', '4955', datetime.date(2021, 8, 1), datetime.time(9, 37, 11)]]"
"[['199.28.145.128', 'PUT', '/usr/admin', '303', '5023', datetime.date(2023, 5, 12), datetime.time(10, 53, 27)]]"
"[['22.79.213.218', 'PUT', '/usr/admin', '304', '4982', datetime.date(2022, 6, 12), datetime.time(10, 31, 16)]]"
"[['39.120.124.254', 'POST', '/usr/register', '200', '5009', datetime.date(2020, 12, 25), datetime.time(9, 32, 3)]]"
"[['65.210.138.42', 'PUT', '/usr/login', '403', '4999', datetime.date(2022, 12, 12), datetime.time(12, 45, 14)]]"
"[['100.211.7.66', 'PUT', '/usr/login', '303', '5047', datetime.date(2022, 7, 29), datetime.time(10, 54, 17)]]"
"[['170.195.70.243', 'POST', '/usr/admin', '303', '4995', datetime.date(2021, 4, 25), datetime.time(3, 1, 31)]]"
"[['76.72.167.252', 'GET', '/usr/login', '200', '4967', datetime.date(2020, 11, 28), datetime.time(2, 58, 26)]]"
"[['151.245.174.97', 'DELETE', '/usr/admin', '304', '5003', datetime.date(2021, 7, 18), datetime.time(3, 46, 59)]]"
"[['212.169.166.40', 'PUT', '/usr/admin', '303', '4923', datetime.date(2023, 8, 28), datetime.time(5, 57, 51)]]"
"[['121.133.132.3', 'POST', '/usr', '304', '4981', datetime.date(2020, 3, 22), datetime.time(5, 39, 46)]]"
"[['7.73.4.218', 'GET', '/usr', '502', '4965', datetime.date(2023, 12, 15), datetime.time(12, 59, 50)]]"
