IP,Date&Time,RequestMethod,URL,StatusCode,Size,UserAgent,RandomLogNumber
83.196.159.241,25/Sep/2023:07:05:53 +0300,PUT,/usr/login HTTP/1.1,500,5023,Mozilla/5.0 (Linux; Android 10; ONEPLUS A6000) AppleWebKit/537.36 (KHTML like Gecko) Chrome/86.0.4240.198 Mobile Safari/537.36 OPR/61.2.3076.56749,1966
93.16.241.205,30/Oct/2020:01:46:54 +0300,GET,/usr/register HTTP/1.1,403,4910,Mozilla/5.0 (Linux; Android 10; ONEPLUS A6000) AppleWebKit/537.36 (KHTML like Gecko) Chrome/86.0.4240.198 Mobile Safari/537.36 OPR/61.2.3076.56749,418
86.93.49.231,15/Nov/2023:05:17:02 +0300,POST,/usr HTTP/1.1,200,5039,Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML like Gecko) Chrome/89.0.4380.0 Safari/537.36 Edg/89.0.759.0,1660
4.108.78.212,16/Jun/2023:01:07:31 +0300,DELETE,/usr/admin/developer HTTP/1.1,403,4902,Mozilla/5.0 (Linux; Android 10; ONEPLUS A6000) AppleWebKit/537.36 (KHTML like Gecko) Chrome/77.0.3865.116 Mobile Safari/537.36 EdgA/45.12.4.5121,4455
185.87.169.41,22/Jan/2021:02:27:46 +0300,DELETE,/usr/admin/developer HTTP/1.1,304,5028,Mozilla/5.0 (Linux; Android 10; ONEPLUS A6000) AppleWebKit/537.36 (KHTML like Gecko) Chrome/77.0.3865.116 Mobile Safari/537.36 EdgA/45.12.4.5121,3730
151.180.123.90,19/Jun/2023:04:53:46 +0300,POST,/usr/admin HTTP/1.1,304,5021,Mozilla/5.0 (Android 10; Mobile; rv:84.0) Gecko/84.0 Firefox/84.0,2409
115.243.232.120,07/Mar/2020:09:49:37 +0300,POST,/usr/admin HTTP/1.1,403,5071,Mozilla/5.0 (iPhone; CPU iPhone OS 12_4_9 like Mac OS X) AppleWebKit/605.1.15 (KHTML like Gecko) Version/12.1.2 Mobile/15E148 Safari/604.1,1631
38.244.46.156,14/Sep/2022:11:20:14 +0300,GET,/usr/admin HTTP/1.1,200,5000,Mozilla/5.0 (Macintosh; Intel Mac OS X 10_9_3) AppleWebKit/537.75.14 (KHTML like Gecko) Version/7.0.3 Safari/7046A194A,4401
19.100.208.249,11/May/2020:12:27:10 +0300,GET,/usr/login HTTP/1.1,304,5000,Mozilla/5.0 (Linux; Android 10; ONEPLUS A6000) AppleWebKit/537.36 (KHTML like Gecko) Chrome/86.0.4240.198 Mobile Safari/537.36 OPR/61.2.3076.56749,3446
171.200.175.21,16/Mar/2020:07:32:25 +0300,PUT,/usr/login HTTP/1.1,502,5011,Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML like Gecko) Chrome/87.0.4280.141 Safari/537.36,2245
7.113.41.107,30/Nov/2022:05:18:19 +0300,DELETE,/usr/admin/developer HTTP/1.1,200,5015,Mozilla/5.0 (Linux; Android 10; ONEPLUS A6000) AppleWebKit/537.36 (KHTML like Gecko) Chrome/87.0.4280.141 Mobile Safari/537.36,4881
150.111.126.28,18/Aug/2023:06:37:43 +0300,PUT,/usr/admin HTTP/1.1,404,4940,Mozilla/5.0 (Android 10; Mobile; rv:84.0) Gecko/84.0 Firefox/84.0,1390
16.64.105.87,06/Nov/2021:07:40:47 +0300,DELETE,/usr/register HTTP/1.1,404,4959,Mozilla/5.0 (Macintosh; Intel Mac OS X 10_9_3) AppleWebKit/537.75.14 (KHTML like Gecko) Version/7.0.3 Safari/7046A194A,3757
156.151.34.111,05/Mar/2020:05:44:46 +0300,POST,/usr/admin HTTP/1.1,304,5043,Mozilla/5.0 (Macintosh; Intel Mac OS X 10_9_3) AppleWebKit/537.75.14 (KHTML like Gecko) Version/7.0.3 Safari/7046A194A,2926
176.103.36.183,23/Jan/2020:04:03:59 +0300,POST,/usr/register HTTP/1.1,403,4989,Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML like Gecko) Chrome/87.0.4280.141 Safari/537.36,2554
45.70.161.90,14/Aug/2022:11:52:06 +0300,DELETE,/usr/admin HTTP/1.1,303,4921,Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML like Gecko) Chrome/87.0.4280.141 Safari/537.36,2165
115.138.16.97,23/Dec/2021:04:04:28 +0300,GET,/usr/login HTTP/1.1,500,5012,Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML like Gecko) Chrome/87.0.4280.141 Safari/537.36,14
