IP,Date&Time,RequestMethod,URL,StatusCode,Size,UserAgent,RandomLogNumber
4.177.94.0,28/Mar/2021:11:09:57 +0300,GET,/usr/login HTTP/1.1,303,4904,Mozilla/5.0 (Linux; Android 10; ONEPLUS A6000) AppleWebKit/537.36 (KHTML like Gecko) Chrome/87.0.4280.141 Mobile Safari/537.36,2242
215.44.95.58,08/Apr/2022:08:43:35 +0300,PUT,/usr HTTP/1.1,403,4951,Mozilla/5.0 (Linux; Android 10; ONEPLUS A6000) AppleWebKit/537.36 (KHTML like Gecko) Chrome/87.0.4280.141 Mobile Safari/537.36,3369
24.34.69.193,26/Aug/2023:03:14:02 +0300,POST,/usr/admin HTTP/1.1,304,5022,Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML like Gecko) Chrome/87.0.4280.88 Safari/537.36 OPR/73.0.3856.329,385
142.245.99.88,29/Sep/2020:10:05:40 +0300,DELETE,/usr/login HTTP/1.1,502,4948,Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:84.0) Gecko/20100101 Firefox/84.0,2910
57.124.128.45,18/Jan/2022:02:15:55 +0300,POST,/usr/admin HTTP/1.1,304,5021,Mozilla/5.0 (iPhone; CPU iPhone OS 12_4_9 like Mac OS X) AppleWebKit/605.1.15 (KHTML like Gecko) Version/12.1.2 Mobile/15E148 Safari/604.1,4510
36.202.152.73,18/Jan/2023:09:31:08 +0300,GET,/usr/login HTTP/1.1,303,4952,Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:84.0) Gecko/20100101 Firefox/84.0,3693
200.54.81.154,22/Apr/2020:02:29:14 +0300,PUT,/usr/login HTTP/1.1,404,4965,Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML like Gecko) Chrome/87.0.4280.88 Safari/537.36 OPR/73.0.3856.329,2648
191.83.30.185,17/Mar/2022:05:35:34 +0300,PUT,/usr/register HTTP/1.1,403,5031,Mozilla/5.0 (Linux; Android 10; ONEPLUS A6000) AppleWebKit/537.36 (KHTML like Gecko) Chrome/86.0.4240.198 Mobile Safari/537.36 OPR/61.2.3076.56749,1183
43.220.151.243,17/Dec/2021:01:04:47 +0300,PUT,/usr/register HTTP/1.1,303,4981,Mozilla/5.0 (Linux; Android 10; ONEPLUS A6000) AppleWebKit/537.36 (KHTML like Gecko) Chrome/86.0.4240.198 Mobile Safari/537.36 OPR/61.2.3076.56749,3862
21.63.229.239,24/May/2023:11:36:02 +0300,GET,/usr/register HTTP/1.1,500,4926,Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML like Gecko) Chrome/87.0.4280.141 Safari/537.36,690
112.144.141.246,09/Jan/2022:12:22:21 +0300,GET,/usr/admin/developer HTTP/1.1,303,4984,Mozilla/5.0 (Android 10; Mobile; rv:84.0) Gecko/84.0 Firefox/84.0,2656
203.147.57.232,20/Oct/2023:10:14:29 +0300,GET,/usr/register HTTP/1.1,500,4999,Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML like Gecko) Chrome/87.0.4280.141 Safari/537.36,1859
11.40.231.253,09/Aug/2023:03:43:19 +0300,POST,/usr/admin HTTP/1.1,500,5008,Mozilla/5.0 (Linux; Android 10; ONEPLUS A6000) AppleWebKit/537.36 (KHTML like Gecko) Chrome/77.0.3865.116 Mobile Safari/537.36 EdgA/45.12.4.5121,2358
12.232.59.202,25/Jan/2021:06:13:29 +0300,GET,/usr/admin HTTP/1.1,404,5082,Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML like Gecko) Chrome/87.0.4280.88 Safari/537.36 OPR/73.0.3856.329,27
27.168.245.60,25/May/2020:06:49:46 +0300,DELETE,/usr/login HTTP/1.1,502,5064,Mozilla/5.0 (Linux; Android 10; ONEPLUS A6000) AppleWebKit/537.36 (KHTML like Gecko) Chrome/87.0.4280.141 Mobile Safari/537.36,3748
112.58.94.107,02/Oct/2023:06:01:19 +0300,POST,/usr/admin HTTP/1.1,502,4953,Mozilla/5.0 (Linux; Android 10; ONEPLUS A6000) AppleWebKit/537.36 (KHTML like Gecko) Chrome/86.0.4240.198 Mobile Safari/537.36 OPR/61.2.3076.56749,4627
28.14.135.69,25/Sep/2023:03:40:37 +0300,GET,/usr HTTP/1.1,502,4963,Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:84.0) Gecko/20100101 Firefox/84.0,1769
38.252.95.158,11/Jan/2022:08:29:04 +0300,POST,/usr/register HTTP/1.1,404,5035,Mozilla/5.0 (Linux; Android 10; ONEPLUS A6000) AppleWebKit/537.36 (KHTML like Gecko) Chrome/77.0.3865.116 Mobile Safari/537.36 EdgA/45.12.4.5121,3553
49.7.3.158,20/May/2022:11:32:08 +0300,PUT,/usr/register HTTP/1.1,404,4986,Mozilla/5.0 (Linux; Android 10; ONEPLUS A6000) AppleWebKit/537.36 (KHTML like Gecko) Chrome/86.0.4240.198 Mobile Safari/537.36 OPR/61.2.3076.56749,745
189.234.114.193,19/Nov/2021:09:58:38 +0300,POST,/usr HTTP/1.1,404,4956,Mozilla/5.0 (Linux; Android 10; ONEPLUS A6000) AppleWebKit/537.36 (KHTML like Gecko) Chrome/87.0.4280.141 Mobile Safari/537.36,851
26.133.148.187,20/Oct/2021:09:31:19 +0300,POST,/usr/admin HTTP/1.1,303,5087,Mozilla/5.0 (Linux; Android 10; ONEPLUS A6000) AppleWebKit/537.36 (KHTML like Gecko) Chrome/87.0.4280.141 Mobile Safari/537.36,445
51.142.96.66,23/Aug/2023:05:42:45 +0300,GET,/usr HTTP/1.1,200,5119,Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML like Gecko) Chrome/87.0.4280.88 Safari/537.36 OPR/73.0.3856.329,4151
80.87.81.121,12/Apr/2023:08:51:59 +0300,DELETE,/usr/admin/developer HTTP/1.1,500,4912,Mozilla/5.0 (Android 10; Mobile; rv:84.0) Gecko/84.0 Firefox/84.0,2769
218.156.1.179,10/May/2021:08:29:11 +0300,DELETE,/usr/login HTTP/1.1,200,4984,Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML like Gecko) Chrome/89.0.4380.0 Safari/537.36 Edg/89.0.759.0,3224
208.161.181.27,08/Aug/2023:10:42:14 +0300,PUT,/usr/register HTTP/1.1,403,4940,Mozilla/5.0 (iPhone; CPU iPhone OS 12_4_9 like Mac OS X) AppleWebKit/605.1.15 (KHTML like Gecko) Version/12.1.2 Mobile/15E148 Safari/604.1,4425
152.95.219.143,24/Aug/2022:03:55:33 +0300,DELETE,/usr/register HTTP/1.1,404,5072,Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML like Gecko) Chrome/89.0.4380.0 Safari/537.36 Edg/89.0.759.0,1667
85.76.252.23,22/Aug/2021:05:25:27 +0300,DELETE,/usr/register HTTP/1.1,200,5043,Mozilla/5.0 (iPhone; CPU iPhone OS 12_4_9 like Mac OS X) AppleWebKit/605.1.15 (KHTML like Gecko) Version/12.1.2 Mobile/15E148 Safari/604.1,3445
105.68.89.93,17/Dec/2023:01:57:07 +0300,DELETE,/usr/admin HTTP/1.1,502,5011,Mozilla/5.0 (Linux; Android 10; ONEPLUS A6000) AppleWebKit/537.36 (KHTML like Gecko) Chrome/87.0.4280.141 Mobile Safari/537.36,3355
51.32.150.62,06/Oct/2023:01:30:12 +0300,GET,/usr HTTP/1.1,304,4987,Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML like Gecko) Chrome/87.0.4280.88 Safari/537.36 OPR/73.0.3856.329,624
64.83.27.176,07/Dec/2022:11:43:36 +0300,POST,/usr/login HTTP/1.1,200,4952,Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML like Gecko) Chrome/87.0.4280.88 Safari/537.36 OPR/73.0.3856.329,516
211.122.100.81,15/Jun/2020:12:27:02 +0300,POST,/usr HTTP/1.1,404,5036,Mozilla/5.0 (iPhone; CPU iPhone OS 12_4_9 like Mac OS X) AppleWebKit/605.1.15 (KHTML like Gecko) Version/12.1.2 Mobile/15E148 Safari/604.1,1211
71.183.138.148,22/Dec/2022:03:45:33 +0300,GET,/usr/admin/developer HTTP/1.1,500,5020,Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:84.0) Gecko/20100101 Firefox/84.0,384
137.247.242.131,28/Jan/2023:03:22:39 +0300,PUT,/usr/login HTTP/1.1,303,4984,Mozilla/5.0 (iPhone; CPU iPhone OS 12_4_9 like Mac OS X) AppleWebKit/605.1.15 (KHTML like Gecko) Version/12.1.2 Mobile/15E148 Safari/604.1,2324
19.70.49.120,30/Oct/2023:07:08:14 +0300,POST,/usr HTTP/1.1,403,4946,Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML like Gecko) Chrome/87.0.4280.141 Safari/537.36,851
11.49.198.56,22/Jan/2023:10:58:38 +0300,GET,/usr/login HTTP/1.1,500,4952,Mozilla/5.0 (Android 10; Mobile; rv:84.0) Gecko/84.0 Firefox/84.0,1481
174.100.107.57,11/Apr/2020:06:08:18 +0300,GET,/usr/admin HTTP/1.1,304,4974,Mozilla/5.0 (Linux; Android 10; ONEPLUS A6000) AppleWebKit/537.36 (KHTML like Gecko) Chrome/87.0.4280.141 Mobile Safari/537.36,259
83.150.175.99,03/Oct/2023:10:40:41 +0300,PUT,/usr/admin HTTP/1.1,403,5016,Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML like Gecko) Chrome/87.0.4280.141 Safari/537.36,3933
177.107.76.47,01/Mar/2022:04:28:00 +0300,DELETE,/usr HTTP/1.1,500,5040,Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML like Gecko) Chrome/87.0.4280.141 Safari/537.36,2029
43.30.185.191,03/Oct/2023:01:39:11 +0300,GET,/usr/register HTTP/1.1,304,5056,Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:84.0) Gecko/20100101 Firefox/84.0,72
